Employee_ID,First_Name,Last_Name,Gender,Salary,Designation,Country,Birth_Date,Hire_Date
121021,Priscilla,Farren,F,32985,Sales Rep. IV,US,10-Dec-78,3/1/1998
121022,Robert,Stevens,M,32210,Sales Rep. IV,US,28-Oct-83,2/1/2006
121023,Shawn,Fuller,M,26010,Sales Rep. I,US,13-Mar-68,5/1/1993
121024,Michael,Westlund,M,26600,Sales Rep. II,US,21-Sep-88,5/1/2008
121025,Barnaby,Cassey,M,28295,Sales Rep. II,US,10-Oct-53,9/1/1979
121026,Terrill,Jaime,M,31515,Sales Rep. IV,US,8-Nov-90,4/1/2010
121027,Allan,Rudder,M,26165,Sales Rep. II,US,5-May-68,12/1/1993
121028,William,Smades,M,26585,Sales Rep. I,US,27-Apr-92,11/1/2010
121029,Kuo-Chung,Mcelwee,M,27225,Sales Rep. I,US,22-Dec-68,12/1/1993
121030,Jeryl,Areu,M,26745,Sales Rep. I,US,12-Nov-83,2/1/2005
121031,Scott,Filan,M,28060,Sales Rep. III,US,9-Jul-68,8/1/1989
121032,Nasim,Smith,M,31335,Sales Rep. IV,US,24-Feb-92,3/1/2010
121033,Kristie,Snitzer,F,29775,Sales Rep. III,US,6-Nov-90,6/1/2008
121034,John,Kirkman,M,27110,Sales Rep. II,US,23-Aug-92,1/1/2011
121035,James,Blackley,M,26460,Sales Rep. II,US,25-Mar-48,1/1/1978
121036,Teresa,Mesley,F,25965,Sales Rep. I,US,18-Jul-92,10/1/2007
121037,Muthukumar,Miketa,M,28310,Sales Rep. III,US,12-Jun-78,3/1/2006
121038,David,Anstey,M,25285,Sales Rep. I,US,13-Feb-92,8/1/2010
121039,Donald,Washington,M,27460,Sales Rep. II,US,3-Jun-58,5/1/1984
121040,Brienne,Darrohn,F,29525,Sales Rep. III,US,6-Jul-63,11/1/1986
121041,Jaime,Wetherington,F,26120,Sales Rep. II,US,4-Feb-48,1/1/1978
121042,Joseph,Robbin-Coker,M,28845,Sales Rep. III,US,4-Apr-83,11/1/2003
121043,Sigrid,Kagarise,F,28225,Sales Rep. II,US,9-Nov-73,3/1/1996
121044,Ray,Abbott,M,25660,Sales Rep. I,US,11-Dec-58,8/1/1979
121045,Cascile,Hampton,F,28560,Sales Rep. II,US,13-Jun-68,1/1/1998
121046,Roger,Mandzak,M,25845,Sales Rep. I,US,7-Sep-88,7/1/2010
121047,Karen,Grzebien,F,25820,Sales Rep. I,US,26-Nov-83,9/1/2010
121048,Lawrie,Clark,F,26560,Sales Rep. I,US,24-Jun-88,9/1/2010
121049,Perrior,Bataineh,F,26930,Sales Rep. I,US,14-Feb-90,12/1/2010
121050,Patricia,Capristo-Abramczyk,F,26080,Sales Rep. II,US,12-Jan-90,12/1/2010
121051,Glorina,Myers,F,26025,Sales Rep. I,US,2-May-53,11/1/1982
121052,Richard,Fay,M,26900,Sales Rep. II,US,9-Jan-90,11/1/2010
121053,Tywanna,Mcdade,F,29955,Sales Rep. III,US,23-Sep-48,2/1/1978
121054,Daniel,Pulliam,M,29805,Sales Rep. III,US,12-Nov-58,11/1/1980
121055,Clement,Davis,M,30185,Sales Rep. III,US,8-Jan-92,8/1/2010
121056,Stacey,Lyszyk,F,28325,Sales Rep. II,US,5-Jul-88,5/1/2007
121057,Tachaun,Voron,M,25125,Sales Rep. I,US,26-Dec-63,12/1/1984
121058,Del,Kohake,M,26270,Sales Rep. I,US,12-Jul-78,10/1/2006
121059,Jacqulin,Carhide,F,27425,Sales Rep. II,US,25-Oct-63,4/1/1985
121060,Elizabeth,Spofford,F,28800,Sales Rep. III,US,8-Jun-48,1/1/1978
121061,Lauris,Hassam,M,29815,Sales Rep. III,US,16-Jul-58,7/1/1988
121062,Debra,Armant,F,30305,Sales Rep. IV,US,28-Oct-88,8/1/2010
121063,Regi,Kinol,M,35990,Sales Rep. II,US,27-Jul-83,8/1/2009
121064,Asishana,Polky,M,25110,Sales Rep. I,US,28-Jan-68,9/1/1995
121065,Corneille,Malta,F,28040,Sales Rep. III,US,5-Sep-88,4/1/2010
121066,Ceresh,Norman,F,27250,Sales Rep. II,US,23-Aug-48,1/1/1978
121067,Jeanilla,Macnair,F,31865,Sales Rep. IV,US,18-Jan-90,3/1/2010
121068,Salaheloin,Osuba,M,27550,Sales Rep. II,US,2-Dec-73,9/1/1996
121069,Jason,Lapsley,M,26195,Sales Rep. II,US,19-Mar-73,10/1/1994
121070,Agnieszka,Holthouse,F,29385,Sales Rep. III,US,4-Nov-88,2/1/2010
121071,John,Hoppmann,M,28625,Sales Rep. III,US,10-Sep-63,9/1/1981
121072,Christer,North,M,26105,Sales Rep. I,US,10-Jan-83,9/1/2008
121073,Donald,Court,M,27100,Sales Rep. I,US,15-May-53,1/1/1978
121074,Eric,Michonski,M,26990,Sales Rep. I,US,1-Mar-63,10/1/1992
121075,Kasha,Sugg,F,28395,Sales Rep. II,US,23-Dec-48,1/1/1978
121076,Micah,Cobb,M,26685,Sales Rep. II,US,9-Oct-68,1/1/1987
121077,Bryce,Smotherly,M,28585,Sales Rep. III,US,5-Sep-88,10/1/2010
121078,Lionel,Wende,M,27485,Sales Rep. I,US,1-May-53,11/1/1982
121079,Azmi,Mees,M,25770,Sales Rep. I,US,3-Jun-78,11/1/2001
121080,Kumar,Chinnis,M,32235,Sales Rep. I,US,24-Jan-63,9/1/1991
121081,Susie,Knudson,F,30235,Sales Rep. III,US,28-Mar-53,4/1/1980
121082,Richard,Debank,M,28510,Sales Rep. III,US,5-Jul-53,10/1/1981
121083,Tingmei,Sutton,F,27245,Sales Rep. I,US,11-Mar-63,3/1/1983
121084,Tulsidas,Ould,M,22710,Sales Rep. I,US,16-Aug-68,1/1/1995
121085,Rebecca,Huslage,M,32235,Sales Rep. IV,US,12-Nov-90,1/1/2011
121086,John-Michael,Plybon,M,26820,Sales Rep. I,US,16-Dec-48,1/1/1978
121087,Virtina,O'Suilleabhain,F,28325,Sales Rep. II,US,7-Dec-78,3/1/2003
121088,Momolu,Kernitzki,M,27240,Sales Rep. I,US,10-Jun-92,1/1/2011
121089,Gregory,Sauder,M,28095,Sales Rep. II,US,21-Aug-58,7/1/1978
121090,Betty,Klibbe,F,26600,Sales Rep. I,US,19-Jun-58,2/1/1984
121091,Ernest,Kadiri,M,27325,Sales Rep. II,US,19-Feb-73,1/1/1993
121092,Gynell,Pritt,F,25680,Sales Rep. I,US,8-Mar-78,8/1/2006
121093,Carl,Vasconcellos,M,27410,Sales Rep. I,US,18-Jul-68,1/1/1998
121094,Larry,Tate,M,26555,Sales Rep. I,US,7-Jan-58,9/1/1982
121095,Sara,Kratzke,F,28010,Sales Rep. II,US,14-Apr-73,7/1/1995
121096,Robert,Newstead,M,26335,Sales Rep. I,US,18-May-73,5/1/1999
121097,Willeta,Chernega,F,26830,Sales Rep. II,US,23-Oct-78,10/1/1999
121098,Hal,Heatwole,M,27475,Sales Rep. I,US,22-Mar-92,5/1/2010
121099,Royall,Mrvichin,M,32725,Sales Rep. IV,US,19-Mar-83,5/1/2004
121100,Tzue-Ing,Cormell,M,28135,Sales Rep. II,US,27-Apr-53,4/1/1980
121101,Burnetta,Buckner,F,25390,Sales Rep. I,US,28-Aug-90,11/1/2010
121102,Rocheal,Flammia,F,27115,Sales Rep. I,US,26-Jun-83,6/1/2010
121103,Brian,Farnsworth,M,27260,Sales Rep. I,US,28-Apr-92,9/1/2010
121104,Leoma,Johnson,F,28315,Sales Rep. II,US,12-Nov-68,4/1/1990
121105,Jessica,Savacool,F,29545,Sales Rep. III,US,9-May-83,1/1/2007
121106,James,Hilburger,M,25880,Sales Rep. I,US,2-Feb-73,2/1/2000
121107,Rose,Anger,F,31380,Sales Rep. IV,US,24-Apr-90,7/1/2010
121108,Libby,Levi,F,25930,Sales Rep. I,US,4-Jul-92,11/1/2010
121109,Harold,Boulus,M,26035,Sales Rep. I,US,5-Nov-73,5/1/1994
121135,Tammy,Ruta,F,27010,Sales Rep. I,US,7-Jun-58,8/1/1978
121136,Lesia,Galarneau,F,27460,Sales Rep. I,US,15-Jul-78,12/1/2006
121137,Michael. R.,Boocks,M,27055,Sales Rep. I,US,18-Jan-92,4/1/2010
121138,Hershell,Tolley,M,27265,Sales Rep. I,US,28-Feb-53,1/1/1978
121139,Diosdado,Mckee,F,27700,Sales Rep. II,US,19-Aug-63,7/1/1991
121140,Saunders,Briggi,M,26335,Sales Rep. I,US,23-Jan-83,4/1/2005
121143,Louis,Favaron,M,95090,Senior Sales Manager,US,26-Nov-73,7/1/2001
121144,Renee,Capachietti,F,83505,Sales Manager,US,28-Jun-68,11/1/1995
121145,Dennis,Lansberry,M,84260,Sales Manager,US,22-Nov-53,4/1/1980
